17287|Conductor|Cobre||761
17287|Conectores|BNC RG59 ambos lados.||762
17287|Impedancia|75±3||763
17029|Longitud|5 M.||765
17287|Longitud|2.5 M||766
2422|Altura (mm)|114.300 ||768
2422|Anchura (mm)|69.850 ||769
2183|Rendimiento Nivel|Cat 3 / Clase C||770
2183|Tipo de módulo|Minicom||772
2183|Esquema de cableado|T568A / T568B 6 hilos||773
2183|Material|ABS||774
2422|Peso|0,03 kg||775
2184|Piernas de montaje|Si||776
2184|Categoría|Cat 5e||777
2184|Color|Beige||778
2184|Profundidad (pulg. )|3.38||779
2184|Altura (pulg. ) 3,45|3.45||780
2184|Número de pares por Base|100||781
17285|COLOR|NEGRO||782
2422|Partes Incluidas|6-32 tornillos||783
17285|CALIBRE|20||784
17285|CONDUCTOR|COBRE||785
17285|CONECTORES|BNC RG59 AMBOS LADOS||786
17285|IMPEDANCIA|75±3||787
17285|Longitud|0.65 M||788
2207|Color|Blanco||790
2207|Etiqueta|Tipo Bolsillo||791
2207|Tipo de módulo|Mini -Com||792
2207|Orientación|Vertical||793
2207|Material|ABS||794
2207|Profundidad (mm )|0,83 ( 21,1 )||795
2207|Ancho  (mm )|2,75 ( 69,8 )||796
2212|Etiqueta Tipo|Adhesivo Opcional||797
2212|Altura (pulg. )|0,91||798
2212|Longitud (pulg.)|2,44||799
2212|Ancho (pulg. )|1,77||800
2212|Número de Puertos|2||801
17296|Color|Negro||802
17296|Conectores|F ROSCA 6.5MM macho.||803
17296|Longitud|0.15 M||804
2422|Cumplimiento Normativo|RoHS||805
2422|Certificaciones|UL, CL2P, CE||806
2217|Material|ABS||807
2217|Color|Blanco ||808
2217|Altura (pulg. )|0,75||809
2217|Longitud (pulg. )|5,09||810
2217|Ancho (pulg. )|3,34||811
2217|CE RoHS|No||812
2217|Tipo Producto|Baja Tensión||813
2220|Tipo de módulo|Mini -Com||814
2220|Número de plazas de Módulo|1||815
2220|Color|Blanco||816
2220|Material|ABS||817
2299|Tipo|Rollo||818
2299|Material|Nylon Loop, Hook Polipropileno||819
2299|Longitud (m)|6,1||820
2299|Ancho (mm)|19.1||821
2299|Rango de temperatura|-22 ° F - 194 ° F||822
16368|Material|Nylon 6.6||823
16368|Application|General||824
16368|Color|Natural||825
16368|Longitud|188mm||826
16368|Ancho|4.8 mm||827
16368|Lbs Resistencia tracción|(N) 50 (222)||828
16368|Rango de temperatura|-76 ° (-60 °) - 185 ° (85 °)||829
16368|Certificación CSA|Si||830
16368|Fuerza tensil:|23kg||831
2317|Tipo de producto|Baja Tensión||832
2317|Color|Blanco||833
2317|Longitud (pulg.)|1,25||834
2317|Longitud (mm)|31.8||835
2317|Para uso|LD5||836
2317|Material|ABS||837
2317|Altura (pulg.)|0,58||838
2317|Altura (mm)|14.7||839
2317|Ancho (pulg.)|1,25||840
2317|Ancho (mm)|31.8||841
2317|CE RoHS|Si||842
2318|Color|Blanco||843
2318|Longitud (pulg.)|1,75||844
2318|Longitud (mm )|44.4||845
2318|Para uso|LD5||846
2318|Material|ABS||847
2318|Altura (pulg. )|0,58||848
2318|Altura ( mm )|14,7||849
2318|Ancho (pulg. )|1,14||850
2318|CE RoHS|Si||851
2318|Reconocido por UL|Si||852
3636|Temperatura de funcionamiento máxima|60 ° C||853
3636|Temperatura de funcionamiento mínima|-40 ° C||854
3636|Tensión nominal V AC|150V||855
3636|Soportar Voltaje|1000VCA||856
3636|Tensión de trabajo|150VAC||857
17246|Conector A|MOLEX macho||858
17246|Conector  B|SATA hembra||859
17246|Calibre|18||860
17246|Longitud|15 cm.||861
3681|Tecnología|No- epoxi / No- polaca||862
3681|Diámetro exterior|125 m||864
3681|Reflectancia ( conector )|-26 dB||869
17268|Longitud|15 CM.||870
17268|Color|Negro||871
17268|Conector A|S-VIDEO macho||872
17268|Conector B|S-VIDEO hembra, RCA hembra / ||873
17294|CONECTORES|SC DUPLEX||874
3762|Color|Negro||875
3762|N° Piezas|25||876
2321|Color|Blanco||877
2321|Longitud (pulg. )|2,00||878
2321|Longitud (mm )|50.8||879
2321|Para uso|LD5||880
2321|Material|ABS||881
2321|Altura (pulg. )|0,58||882
2321|Altura ( mm|14.7||883
2321|Altura (pulg. )|0,58||884
2321|CE RoHS|Si||885
2321|Reconocido por UL|Si||886
17410|COLOR|NEGRO||887
17410|CONECTOR|NEMA L20-R HEMBRA.||888
17410|VOLTS|250.||889
17410|AMPERES|20||890
4134|Color|Blanco||891
2322|Color|Blanco ||892
2322|Longitud (pulg. )|2,00 / ||893
2322|Longitud (mm )|50.8||894
2322|Para uso|LD5||895
2322|Material|ABS||896
2322|Altura (pulg. )|0,58||897
2322|Altura ( mm )|14.7||898
